Month,Symbol,Close,Volume,Date,
04/2020,EXPD,65.48,1604200,01/04/2020,
05/2020,EXPD,71.36,1214400,01/05/2020,
06/2020,EXPD,75.59,853700,01/06/2020,
07/2020,EXPD,76.19,1310900,01/07/2020,
08/2020,EXPD,85.83,2019700,03/08/2020,
09/2020,EXPD,89.68,778000,01/09/2020,
10/2020,EXPD,89.29,1080100,01/10/2020,
11/2020,EXPD,88.62,1751800,02/11/2020,
12/2020,EXPD,89.75,1354000,01/12/2020,
01/2020,EXR,104.73,950900,02/01/2020,
02/2020,EXR,109.58,611700,03/02/2020,
03/2020,EXR,105.4,1287500,02/03/2020,
04/2020,EXR,94,2317900,01/04/2020,
05/2020,EXR,87.16,1386000,01/05/2020,
06/2020,EXR,98.82,940700,01/06/2020,
07/2020,EXR,96.96,853000,01/07/2020,
08/2020,EXR,101.92,965900,03/08/2020,
09/2020,EXR,106.85,436300,01/09/2020,
10/2020,EXR,109.24,1061500,01/10/2020,
11/2020,EXR,115.85,1158500,02/11/2020,
12/2020,EXR,113.66,1044700,01/12/2020,
01/2020,XOM,70.9,12456400,02/01/2020,
02/2020,XOM,60.73,27389300,03/02/2020,
03/2020,XOM,53.88,38127600,02/03/2020,
04/2020,XOM,37.53,36045900,01/04/2020,
05/2020,XOM,43.14,35399300,01/05/2020,
06/2020,XOM,46.28,19031000,01/06/2020,
07/2020,XOM,43.71,17290100,01/07/2020,
08/2020,XOM,42.25,23033600,03/08/2020,
09/2020,XOM,39.43,22464100,01/09/2020,
10/2020,XOM,33.13,36890200,01/10/2020,
11/2020,XOM,33.99,40130300,02/11/2020,
12/2020,XOM,38.5,32472900,01/12/2020,
01/2020,FFIV,140.76,592200,02/01/2020,
02/2020,FFIV,121.77,822200,03/02/2020,
03/2020,FFIV,120.04,1189200,02/03/2020,
04/2020,FFIV,103.73,666000,01/04/2020,
05/2020,FFIV,135.3,874200,01/05/2020,
06/2020,FFIV,145.82,710100,01/06/2020,
07/2020,FFIV,137.31,562000,01/07/2020,
08/2020,FFIV,139.05,993100,03/08/2020,
09/2020,FFIV,131.1,571500,01/09/2020,
10/2020,FFIV,123.07,450300,01/10/2020,
